"lat","lon","geometry","intersection","maria"
-90,-180,c(-180, -90),NA,FALSE
-90,-179,c(-179, -90),NA,FALSE
-90,-178,c(-178, -90),NA,FALSE
-90,-177,c(-177, -90),NA,FALSE
-90,-176,c(-176, -90),NA,FALSE
-90,-175,c(-175, -90),NA,FALSE
-90,-174,c(-174, -90),NA,FALSE
-90,-173,c(-173, -90),NA,FALSE
-90,-172,c(-172, -90),NA,FALSE
-90,-171,c(-171, -90),NA,FALSE
-90,-170,c(-170, -90),NA,FALSE
-90,-169,c(-169, -90),NA,FALSE
-90,-168,c(-168, -90),NA,FALSE
-90,-167,c(-167, -90),NA,FALSE
-90,-166,c(-166, -90),NA,FALSE
-90,-165,c(-165, -90),NA,FALSE
-90,-164,c(-164, -90),NA,FALSE
-90,-163,c(-163, -90),NA,FALSE
-90,-162,c(-162, -90),NA,FALSE
-90,-161,c(-161, -90),NA,FALSE
-90,-160,c(-160, -90),NA,FALSE
-90,-159,c(-159, -90),NA,FALSE
-90,-158,c(-158, -90),NA,FALSE
-90,-157,c(-157, -90),NA,FALSE
-90,-156,c(-156, -90),NA,FALSE
-90,-155,c(-155, -90),NA,FALSE
-90,-154,c(-154, -90),NA,FALSE
-90,-153,c(-153, -90),NA,FALSE
-90,-152,c(-152, -90),NA,FALSE
-90,-151,c(-151, -90),NA,FALSE
-90,-150,c(-150, -90),NA,FALSE
-90,-149,c(-149, -90),NA,FALSE
-90,-148,c(-148, -90),NA,FALSE
-90,-147,c(-147, -90),NA,FALSE
-90,-146,c(-146, -90),NA,FALSE
-90,-145,c(-145, -90),NA,FALSE
-90,-144,c(-144, -90),NA,FALSE
-90,-143,c(-143, -90),NA,FALSE
-90,-142,c(-142, -90),NA,FALSE
-90,-141,c(-141, -90),NA,FALSE
-90,-140,c(-140, -90),NA,FALSE
-90,-139,c(-139, -90),NA,FALSE
-90,-138,c(-138, -90),NA,FALSE
-90,-137,c(-137, -90),NA,FALSE
-90,-136,c(-136, -90),NA,FALSE
-90,-135,c(-135, -90),NA,FALSE
-90,-134,c(-134, -90),NA,FALSE
-90,-133,c(-133, -90),NA,FALSE
-90,-132,c(-132, -90),NA,FALSE
-90,-131,c(-131, -90),NA,FALSE
-90,-130,c(-130, -90),NA,FALSE
-90,-129,c(-129, -90),NA,FALSE
-90,-128,c(-128, -90),NA,FALSE
-90,-127,c(-127, -90),NA,FALSE
-90,-126,c(-126, -90),NA,FALSE
-90,-125,c(-125, -90),NA,FALSE
-90,-124,c(-124, -90),NA,FALSE
-90,-123,c(-123, -90),NA,FALSE
-90,-122,c(-122, -90),NA,FALSE
-90,-121,c(-121, -90),NA,FALSE
-90,-120,c(-120, -90),NA,FALSE
-90,-119,c(-119, -90),NA,FALSE
-90,-118,c(-118, -90),NA,FALSE
-90,-117,c(-117, -90),NA,FALSE
-90,-116,c(-116, -90),NA,FALSE
-90,-115,c(-115, -90),NA,FALSE
-90,-114,c(-114, -90),NA,FALSE
-90,-113,c(-113, -90),NA,FALSE
-90,-112,c(-112, -90),NA,FALSE
-90,-111,c(-111, -90),NA,FALSE
-90,-110,c(-110, -90),NA,FALSE
-90,-109,c(-109, -90),NA,FALSE
-90,-108,c(-108, -90),NA,FALSE
-90,-107,c(-107, -90),NA,FALSE
-90,-106,c(-106, -90),NA,FALSE
-90,-105,c(-105, -90),NA,FALSE
-90,-104,c(-104, -90),NA,FALSE
-90,-103,c(-103, -90),NA,FALSE
-90,-102,c(-102, -90),NA,FALSE
-90,-101,c(-101, -90),NA,FALSE
